station_name,badge_number,exception_date,exception_start_time,hours,exception_group,exception_source
4 District C Platoon,98098,20220731,18:00,12,Accrued,Voluntary Time Off
4 District D Platoon,97967,20220801,18:00,12,Vacation,Voluntary Time Off
4 District D Platoon,97896,20220801,18:00,12,Stat Holiday,Voluntary Time Off
4 District D Platoon,98181,20220801,19:00,12,Stat Holiday,Voluntary Time Off
4 District D Platoon,96365,20220801,19:00,12,Vacation,Voluntary Time Off
4 District A Platoon,96988,20220801,6:00,12,Vacation,Voluntary Time Off
4 District A Platoon,96580,20220801,7:00,12,Vacation,Voluntary Time Off
4 District A Platoon,97636,20220801,6:00,12,Vacation,Voluntary Time Off
4 District D Platoon,97967,20220802,18:00,12,Vacation,Voluntary Time Off
4 District D Platoon,97896,20220802,18:00,3,Accrued,Voluntary Time Off
4 District D Platoon,97896,20220802,21:00,9,Stat Holiday,Voluntary Time Off
4 District A Platoon,97858,20220802,6:00,12,Sick,Sick
4 District A Platoon,96988,20220802,6:00,12,Vacation,Voluntary Time Off
4 District A Platoon,96580,20220802,7:00,12,Vacation,Voluntary Time Off
4 District A Platoon,98099,20220802,6:00,12,Sick,Sick
4 District A Platoon,97636,20220802,6:00,12,Vacation,Voluntary Time Off
4 District D Platoon,98181,20220802,19:00,12,Stat Holiday,Voluntary Time Off
4 District A Platoon,96988,20220803,18:00,12,Vacation,Voluntary Time Off
4 District A Platoon,96580,20220803,19:00,12,Vacation,Voluntary Time Off
4 District C Platoon,96782,20220803,7:30,4,Training,Scheduled Hours Exceptions
4 District B Platoon,97812,20220803,7:00,12,Vacation,Voluntary Time Off
4 District A Platoon,97636,20220803,18:00,12,Vacation,Voluntary Time Off
4 District B Platoon,98167,20220803,7:00,12,Sick,Sick
4 District A Platoon,96988,20220804,18:00,12,Vacation,Voluntary Time Off
4 District A Platoon,96580,20220804,19:00,12,Vacation,Voluntary Time Off
4 District B Platoon,97812,20220804,7:00,12,Vacation,Voluntary Time Off
4 District A Platoon,97636,20220804,18:00,4,Vacation,Voluntary Time Off
4 District C Platoon,97997,20220805,6:00,12,Stat Holiday,Voluntary Time Off
4 District C Platoon,98354,20220805,12:00,4,Training,Scheduled Hours Exceptions
4 District B Platoon,97812,20220805,19:00,12,Vacation,Voluntary Time Off
4 District C Platoon,97997,20220806,6:00,12,Stat Holiday,Voluntary Time Off
4 District B Platoon,97812,20220806,19:00,12,Vacation,Voluntary Time Off
4 District C Platoon,97997,20220807,18:00,12,Stat Holiday,Voluntary Time Off
4 District C Platoon,98239,20220807,19:00,12,Accrued,Voluntary Time Off
